"346","TORRE DO BISPO","2000 SANTAREM"
"347","BISCAINHO","2100 CORUCHE"
"348","AZINHAGA","2150 GOLEGA"
"349","IDANHA A NOVA","PENAMACOR"
"350","ALMEIRIM","2080 ALMEIRIM"
"351","PACOS DOS NEGROS","2080 ALMEIRIM"
"352","TAPADA","2080 ALMEIRIM"
"353","FAZENDAS DE ALMEIRIM","2080 ALMEIRIM"
"354","FAZENDAS DE ALMEIRIM","2080 ALMEIRIM"
"355","S.VICENTE DO PAUL","2000-700 S.VICENTE DO PAUL"
"356","TOMAR","2300-327 TOMAR"
"357","MARINHAIS","2125-114 MARINHAIS"
"358","FOROS DE SALVATERRA","2120 SALVATERRA DE MAGOS"
"359","-","4600 AMARANTE"
"360","VALE DA TRAVE","2025 ALCANEDE"
"361","FRADE DE BAIXO","2090 ALPIARCA"
"362","PACOS DOS NEGROS","2080 ALMEIRIM"
"363","CORUCHE","2100 CORUCHE"
"364","BENFICA DO RIBATEJO","2080-322"
"365","GRANHO","2125-401 GRANHO"
"366","ALPIARCA","2090 ALPIARCA"
"367","FAZENDAS DE ALMEIRIM","2080 FAZENDAS DE ALMEIRM"
"368","RIACHOS","2350 RIACHOS"
"369","ALMEIRIM","2080 ALMEIRIM"
"370","ABITUREIRAS","2000 SANTAREM"
"371","ALMEIRIM","2080 ALMEIRIM"
"372","CARTAXO","2070 CARTAXO"
"373","GLORIA DO RIBATEJO","2125 MARINHAIS"
"374","VALE DE FIGUEIRA","2000 SANTAREM"
"375","ANDREUS","2200 SARDOAL"
"376","CARTAXO","2070 CARTAXO"
"377","FRADE DE BAIXO","2090 ALPIARCA"
"378","FRADE DE BAIXO","2090 ALPIARCA"
"379","ALMEIRIM","2080 ALMEIRIM"
"380","CABANAS DO CHAO","ALENQUER"
"381","BENFICA DO RIBATEJO","2080-323 BENFICA DO RIBATEJO"
"382","CORUCHE","2100 CORUCHE"
"383","ALMEIRIM","2080-103 ALMEIRIM"
"384","TAPADA","2080-220 TAPADA"
"385","VELE DE CAVALOS","2140 CHAMUSCA"
"386","FATIMA","2495 FATIMA"
"387","ALMEIRIM","2080 ALMEIRIM"
"388","-","2080 ALMEIRIM"
"389","ARROUQUELAS","2040 RIO MAIOR"
"390","FAZENDAS DE ALMEIRIM","2080 FAZENDAS DE ALMEIRIM"
"391","ALMEIRIM","2080 ALMEIRIM"
"392","COMEIRAS DE CIMA","2000-695 S.VICENTE DO PAUL"
"394","VALE DE CAVALOS","2140-408 VALE DE CAVALOS"
"395","VALE DE FIGUEIRA","2000-016 SANTAREM"
"396","FAZENDAS DE ALMEIRIM","2080 ALMEIRIM"
"397","-","2080 ALMEIRIM"
"398","VILA CHA DE OURIQUE","2070 VILA CHA DE OURIQUE"
"399","CARTAXO","2070-059"
"400","ALMEIRIM","2080 ALMEIRIM"
"401","FOROS DE SALVATERRA","2120 FOROS DE SALVATERRA"
"402","LISBOA","1000-240 LISBOA"
"403","RAPOSA","2080 ALMEIRIM"
"405","ALMEIRIM","2080 ALMEIRIM"
"406","ALMEIRIM","2080 ALMEIRIM"
"407","ALMEIRIM","2080 ALMEIRIM"
"408","ALMEIRIM","2080 ALMEIRIM"
"409","VALE DE SANTAREM","2000 SANTAREM"
"410","ALMEIRIM","2080 ALMEIRIM"
"411","BENFICA DO RIBATEJO","2080-341 BENFICA DO RIBATEJO"
"412","BENFICA DO RIBATEJO","2080 ALMEIRIM"
"413","BENAVENTE","2130 BENAVENTE"
"414","ALMEIRIM","2080 ALMEIRIM"
"415","BENFICA DO RIBATEJO","2080-337 BENFICA DO RIBATEJO"
"416","ALMEIRIM","2080 ALMEIRIM"
"417","CHARNECA","2090 ALPIARCA"
"418","CARREGUEIRA","2140 CHAMUSCA"
"419","FONTAINHAS","2000 SANTAREM"
"420","TAPADA","2080 ALMEIRIM"
"421","ALMEIRIM","2080 ALMEIRIM"
"422","ALMEIRIM","2080 ALMEIRIM"
"423","75-B","2090-089 ALPIARCA"
"424","SANTAREM","2000 SANTAREM"
"425","PINHEIRO GRANDE","2140 CHAMUSCA"
"426","LISBOA","1200 LISBOA"
"427","SANTAREM","2000 SANTAREM"
"428","PARREIRA","2140 CHAMUSCA"
"429","SERPA","7830-361 SERPA"
"430","ALMEIRIM","2080 ALMEIRIM"
"431","ALPIARCA","2090 ALPIARCA"
"432","ALMEIRIM","2080 ALMEIRIM"
"433","ALMEIRIM","2080 ALMEIRIM"
"434","PACO DOS NEGROS","2080 ALMEIRIM"
"435","ALPIARCA","2090 ALPIARCA"
"436","FAZENDAS DE ALMEIRIM","2080 ALMEIRIM"
"437","ALMEIRIM","2080 ALMEIRIM"
"438","CASAIS DA LAPA","2070 CARTAXO"
"439","ALMEIRIM","2080-221 ALMEIRIM"
"440","VALE DA GAMA","6120-030 EVENDOS"
"441","ALMEIRIM","2080 ALMEIRIM"
"442","PORTELA DAS PADEIRAS","2000 PORTELA DAS PADEIRAS"
"443","ALPIARCA","2090 ALPIARCA"
"444","FRADE DE BAIXO","2090 ALPIARCA"
"445","ALMEIRIM","2080 - 116 ALMEIRIM"
"446","CORUCHE","2100 CORUCHE"
"447","PACO DOS NEGROS","2080 ALMEIRIM"
"448","SANTAREM","2000 SANTAREM"
"449","RIACHOS","2350-474-RIACHOS"
"450","CAIXA POSTAL 5208","2965 POCEIRAO"
"451","ABITUREIRAS","2000 SANTAREM"
"452","ALMEIRIM","2080 ALMEIRIM"
"453","N.9","2080-108 ALMEIRIM"
"454","ALMEIRIM","2080 ALMEIRIM"
"455","ALMEIRIM","2080-193 ALMEIRIM"
"456","PARREIRA","2140 CHAMUSCA"
"457","FOROS DE BENFICA","2080 ALMEIRIM"
"458","SANTAREM","2000 SANTAREM"
"459","Almeirim","2080 ALMEIRIM"
"460","MUGE","2125 MUGE"
"461","ARAMANHA","2005-019 VARZEA DE SANTAREM"
"462","Almeirim","2080 ALMEIRIM"
"463","ALMAJOES","2000-691"
"464","CARTAXO","2070 CARTAXO"
"465","CORTICADAS","7050 LAVRE"
"466","PACO DOS NEGROS","2080 ALMEIRIM"
"467","Almeirim","2080 ALMEIRIM"
"468","FAZENDAS DE ALMEIRIM","2080 ALMEIRIM"
"469","ALMEIRIM","2080 ALMEIRIM"
"470","VILA CHA DE OURIQUE","2070-679 CARTAXO"
"471","MARIANOS","2080 ALMEIRIM"
"472","CORTICOIS","2080 BENFICA DO RIBATEJO"
"473","FAZENDAS DE ALMEIRIM","2080 ALMEIRIM"
"474","ALMEIRIM","2080-116 ALMEIRIM"
"475","TREMEZ","2000 SANTAREM"
"476","ALMEIRIM","2080-069 ALMEIRIM"
"477","SANTAREM","2000 SANTAREM"
"478","SANTAREM","2000 SANTAREM"
"479","CARTAXO","2070 CARTAXO"
"480","ALMEIRIM","2080 ALMEIRIM"
"481","-","2040-107 RIO MAIOR"
"482","ADVAGAR","2000 SANTAREM"
"483","MOCARRIA","2000 SANTAREM"
